pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,pred_raw,calib,calib_thr,deauth_tgt,seq_jump,ap_bssid,channel,win_pkts,win_dens,win_deauth,win_probe,win_beacon,win_auth,gw_mac,gw_flip,label,attack_type,timestamp
45917,MGMT_OTHER,-92,5,39946,719,65296,42840,3220307,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,108.9,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:02.272354
45917,,-63,34,0,1091,65296,42840,3220632,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,13,487.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:02.597354
45917,,-66,31,0,3521,63244,42840,3220827,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,4,237.3,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:02.792354
45917,,40,40,0,0,65296,42840,3221302,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,10,143.6,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:03.267354
45917,,-61,36,292,1114,65296,42840,3221549,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,5,416.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:03.514354
45917,BEACON,-95,2,0,1899,65296,42840,3221977,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,105.2,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:03.942354
45917,PROBE_RESP,-65,32,0,3539,65296,42840,3222416,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,9,157.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:04.381354
45917,PROBE_REQ,-68,29,0,1247,65296,42840,3222610,0,99,9,0,0,14:33:5C:6D:AF:58,0,1,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,9,178.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:04.575354
45917,,-26,71,90045,1150,65296,42840,3222847,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,13,163.4,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:04.812354
45917,,-30,67,0,1157,65296,42840,3223092,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,3,176.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:05.057354
45917,,-30,67,0,1173,65296,42840,3223602,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,4,276.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:05.567354
45917,,-62,35,761,1152,65296,42840,3224121,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,7,324.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:06.086354
45917,BEACON,-91,6,22314,1479,65296,42840,3224317,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,2,156.5,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:06.282354
45917,,-62,35,295,1188,65296,42840,3224705,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,0,80:02:9C:61:97:4B,11,10,107.1,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:06.670354
45917,BEACON,-92,5,0,1930,65296,42840,3225152,0,99,9,0,0,14:33:5C:6D:AF:58,0,0,ARMED,72.0,0,1,80:02:9C:61:97:4B,11,1,68.0,,,,,80:02:9C:61:97:4A,0,0,NONE,2026-08-26T14:42:07.117354
