pen,subtype,rssi,snr,ipat,seq,heap,minheap,uptime,reconn,qpeak,udpfail,backlog,dropped,host_mac,pred_attack,deauth_tgt,seq_jump,ap_bssid,channel,label,attack_type,timestamp
45917,BEACON,-93,-2,397,1560,69844,44280,8061834,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:41.209533
45917,MGMT_OTHER,-88,3,8408,2067,69844,44280,8061975,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:41.350533
45917,MGMT_OTHER,-90,1,1504,3529,69844,44280,8062275,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:41.650533
45917,,-54,37,4607,3356,69844,44280,8062468,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:41.843533
45917,BEACON,-97,-6,0,3939,69844,44280,8062580,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:41.955533
45917,BEACON,-94,-3,48,45,69844,44280,8062850,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:42.225533
45917,PROBE_RESP,-93,-2,0,3,69844,44280,8062987,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:42.362533
45917,,-50,41,167,627,69844,44280,8063274,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:42.649533
45917,BEACON,-91,0,0,3051,69844,44280,8063305,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:42.680533
45917,BEACON,-92,-1,0,3053,69844,44280,8063510,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:42.885533
45917,PROBE_RESP,-91,0,81,1,69844,44280,8063752,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:43.127533
45917,BEACON,-85,6,0,389,69844,44280,8064015,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:43.390533
45917,BEACON,-85,6,0,391,69844,44280,8064220,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:43.595533
45917,,-80,11,8590,2899,69844,44280,8064434,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:43.809533
45917,,-81,10,6538,537,69844,44280,8064817,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:44.192533
45917,MGMT_OTHER,-86,5,2010,3279,69844,44280,8065106,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:44.481533
45917,,-54,37,19840,3449,69844,44280,8065388,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:44.763533
45917,PROBE_RESP,-85,6,0,1,69844,44280,8065607,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:44.982533
45917,BEACON,-88,3,12397,442,69844,44280,8065857,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:45.232533
45917,,-93,-2,5926,1639,69844,44280,8066108,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:45.483533
45917,BEACON,-91,0,7987,3086,69844,44280,8066301,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:45.676533
45917,BEACON,-92,-1,0,3083,69844,44280,8066582,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:45.957533
45917,PROBE_RESP,-85,6,0,8,69844,44280,8066847,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:46.222533
45917,,10,10,0,675,69844,44280,8066971,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:46.346533
45917,,-52,39,0,676,69328,44280,8067009,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:46.384533
45917,,-87,4,5231,171,69844,44280,8067321,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:46.696533
45917,BEACON,-92,-1,17866,3099,69844,44280,8067632,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:47.007533
45917,,-87,4,6505,2064,69844,44280,8067950,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:47.325533
45917,,-54,37,109,3499,69768,44280,8068239,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:47.614533
45917,BEACON,-93,-2,97,378,69844,44280,8068491,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:47.866533
45917,,-54,37,110,3550,69844,44280,8068504,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:47.879533
45917,BEACON,-82,9,0,3581,69844,44280,8068603,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:47.978533
45917,MGMT_OTHER,-91,0,804,3150,69844,44280,8068787,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:48.162533
45917,PROBE_RESP,-90,1,0,5,69844,44280,8069107,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:48.482533
45917,,-88,3,10043,1585,69844,44280,8069392,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:48.767533
45917,MGMT_OTHER,-92,-1,0,1509,69844,44280,8069562,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:48.937533
45917,,-91,0,27798,2666,69844,44280,8069808,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:49.183533
45917,,-88,3,1052,3909,69844,44280,8069920,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:49.295533
45917,BEACON,-92,-1,16168,116,69844,44280,8070121,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:49.496533
45917,,-88,3,1904,1894,69844,44280,8070427,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:49.802533
45917,BEACON,-92,-1,48,3820,69844,44280,8070566,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:49.941533
45917,PROBE_RESP,-86,5,0,0,69844,44280,8070779,0,100,19,0,0,B0:CB:D8:C9:92:00,1,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:50.154533
45917,BEACON,-91,0,3491,491,69844,44280,8070875,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:50.250533
45917,PROBE_RESP,-85,6,0,0,69844,44280,8071055,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,0,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:50.430533
45917,,-92,-1,10686,3535,69844,44280,8071346,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:50.721533
45917,BEACON,-91,0,7191,3830,69844,44280,8071590,0,100,19,0,0,B0:CB:D8:C9:92:00,0,0,1,1E:01:D0:40:E0:9E,6,0,NONE,2026-08-05T00:32:50.965533
