window_start,total_packets,packet_density,beacon_packets,deauth_packets,deauth_targeted,probe_packets,auth_packets,seq_jump,rssi_mean,rssi_var,snr_mean,heap,minheap,reconn,qpeak,udpfail,backlog,label,attack_type
2026-08-05T00:32:37.200000,1,10.0,0,0,0,0,0,1,-87.0,0.0,4.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.400000,1,10.0,1,0,0,0,0,1,-52.0,0.0,39.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.800000,1,10.0,1,0,0,0,0,1,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:37.900000,1,10.0,1,0,0,0,0,1,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.100000,1,10.0,0,0,0,0,0,0,-83.0,0.0,8.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.300000,1,10.0,1,0,0,0,0,0,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.500000,1,10.0,0,0,0,1,0,0,-89.0,0.0,2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:38.800000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:39,1,10.0,0,0,0,1,0,0,-82.0,0.0,9.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:39.200000,1,10.0,0,0,0,0,0,0,-54.0,0.0,37.0,69828.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:39.300000,1,10.0,0,0,0,0,0,1,11.0,0.0,11.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:39.500000,1,10.0,0,0,0,0,0,0,11.0,0.0,11.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:39.800000,1,10.0,0,0,0,0,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:40.100000,1,10.0,0,0,0,0,0,1,-55.0,0.0,36.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:40.300000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:40.500000,1,10.0,0,0,0,1,0,1,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:40.600000,1,10.0,1,0,0,0,0,1,-55.0,0.0,36.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:40.700000,1,10.0,0,0,0,0,0,1,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:40.900000,1,10.0,0,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:41.200000,1,10.0,1,0,0,0,0,1,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:41.300000,1,10.0,0,0,0,0,0,1,-88.0,0.0,3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:41.600000,1,10.0,0,0,0,0,0,1,-90.0,0.0,1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:41.800000,1,10.0,0,0,0,0,0,1,-54.0,0.0,37.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:41.900000,1,10.0,1,0,0,0,0,1,-97.0,0.0,-6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:42.200000,1,10.0,1,0,0,0,0,1,-94.0,0.0,-3.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:42.300000,1,10.0,0,0,0,1,0,0,-93.0,0.0,-2.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:42.600000,2,20.0,1,0,0,0,0,1,-70.5,420.25,20.5,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:42.800000,1,10.0,1,0,0,0,0,1,-92.0,0.0,-1.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:43.100000,1,10.0,0,0,0,1,0,1,-91.0,0.0,0.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:43.300000,1,10.0,1,0,0,0,0,0,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:43.500000,1,10.0,1,0,0,0,0,0,-85.0,0.0,6.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:43.800000,1,10.0,0,0,0,0,0,1,-80.0,0.0,11.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:44.100000,1,10.0,0,0,0,0,0,1,-81.0,0.0,10.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
2026-08-05T00:32:44.400000,1,10.0,0,0,0,0,0,1,-86.0,0.0,5.0,69844.0,44280.0,0.0,100.0,19.0,0.0,0,NONE
